"Date","BZ.F.Adjusted"
2019-01-02,54.9099998474121
2019-01-03,55.9500007629395
2019-01-04,57.060001373291
2019-01-07,57.3300018310547
2019-01-08,58.7200012207031
2019-01-09,61.439998626709
2019-01-10,61.6800003051758
2019-01-11,60.4799995422363
2019-01-14,58.9900016784668
2019-01-15,60.6399993896484
2019-01-16,61.3199996948242
2019-01-17,61.1800003051758
2019-01-18,62.7000007629395
2019-01-22,61.5
2019-01-23,61.1399993896484
2019-01-24,61.0900001525879
2019-01-25,61.6399993896484
2019-01-28,59.9300003051758
2019-01-29,61.3199996948242
2019-01-30,61.6500015258789
2019-01-31,61.8899993896484
2019-02-01,61.8699989318848
2019-02-04,62.5099983215332
2019-02-05,61.9799995422363
2019-02-06,62.689998626709
2019-02-07,61.6300010681152
2019-02-08,62.0999984741211
2019-02-11,61.5099983215332
2019-02-12,62.4199981689453
2019-02-13,63.6100006103516
2019-02-14,64.5699996948242
2019-02-15,66.25
2019-02-19,66.4499969482422
2019-02-20,67.0800018310547
2019-02-21,67.0699996948242
2019-02-22,67.120002746582
2019-02-25,64.7600021362305
2019-02-26,65.2099990844727
2019-02-27,66.3899993896484
2019-02-28,66.0299987792969
2019-03-01,66.0100021362305
2019-03-04,65.6699981689453
2019-03-05,65.8600006103516
2019-03-06,65.9899978637695
2019-03-07,66.3000030517578
2019-03-08,65.7399978637695
2019-03-11,66.5800018310547
2019-03-12,66.6699981689453
2019-03-13,67.5500030517578
2019-03-14,67.2300033569336
2019-03-15,67.1600036621094
2019-03-18,67.5400009155273
2019-03-19,67.6100006103516
2019-03-20,68.5
2019-03-21,67.8600006103516
2019-03-22,67.0299987792969
2019-03-25,67.2099990844727
2019-03-26,67.9700012207031
2019-03-27,67.8300018310547
2019-03-28,67.8199996948242
2019-03-29,68.3899993896484
2019-04-01,68.3499984741211
2019-04-02,69.370002746582
2019-04-03,69.3099975585938
2019-04-04,69.4000015258789
2019-04-05,70.3399963378906
2019-04-08,71.0999984741211
2019-04-09,70.6100006103516
2019-04-10,71.7300033569336
2019-04-11,70.8300018310547
2019-04-12,71.5500030517578
2019-04-15,71.1800003051758
2019-04-16,71.7200012207031
2019-04-17,71.620002746582
2019-04-18,71.9700012207031
2019-04-22,74.0400009155273
2019-04-23,74.5100021362305
2019-04-24,74.5699996948242
2019-04-25,74.3499984741211
2019-04-26,72.1500015258789
2019-04-29,72.0400009155273
2019-04-30,72.8000030517578
2019-05-01,72.7900009155273
2019-05-02,70.75
2019-05-03,70.8499984741211
2019-05-06,71.2399978637695
2019-05-07,69.879997253418
2019-05-08,70.370002746582
2019-05-09,70.3899993896484
2019-05-10,70.620002746582
2019-05-13,70.2300033569336
2019-05-14,71.2399978637695
2019-05-15,71.7699966430664
2019-05-16,72.620002746582
2019-05-17,72.2099990844727
2019-05-20,71.9700012207031
2019-05-21,72.1800003051758
2019-05-22,70.9899978637695
2019-05-23,67.7600021362305
2019-05-24,68.6900024414062
2019-05-28,70.1100006103516
2019-05-29,69.4499969482422
2019-05-30,66.870002746582
2019-05-31,64.4899978637695
