Date,Adjusted
2019-01-02,1.13426
2019-01-03,1.1394
2019-01-04,1.14029
2019-01-07,1.14758
2019-01-08,1.14411
2019-01-09,1.15495
2019-01-10,1.14985
2019-01-11,1.14636
2019-01-14,1.14658
2019-01-15,1.14063
2019-01-16,1.13951
2019-01-17,1.13889
2019-01-18,1.13645
2019-01-21,1.13702
2019-01-22,1.13633
2019-01-23,1.13808
2019-01-24,1.13025
2019-01-25,1.14163
2019-01-28,1.14276
2019-01-29,1.14351
2019-01-30,1.14812
2019-01-31,1.14461
2019-02-01,1.14596
2019-02-04,1.14358
2019-02-05,1.14059
2019-02-06,1.13674
2019-02-07,1.13425
2019-02-08,1.13231
2019-02-11,1.12774
2019-02-12,1.13297
2019-02-13,1.12567
2019-02-14,1.1295
2019-02-15,1.12997
2019-02-18,1.13105
2019-02-19,1.13393
2019-02-20,1.13457
2019-02-21,1.13373
2019-02-22,1.13319
2019-02-25,1.13598
2019-02-26,1.13933
2019-02-27,1.13726
2019-02-28,1.13706
2019-03-01,1.13677
2019-03-04,1.13379
2019-03-05,1.13006
2019-03-06,1.13084
2019-03-07,1.11918
2019-03-08,1.12329
2019-03-11,1.12634
2019-03-12,1.12897
2019-03-13,1.13374
2019-03-14,1.1306
2019-03-15,1.13258
2019-03-18,1.1335
2019-03-19,1.13536
2019-03-20,1.14212
2019-03-21,1.13764
2019-03-22,1.13005
2019-03-25,1.13145
2019-03-26,1.12756
2019-03-27,1.12493
2019-03-28,1.12284
2019-03-29,1.12177
2019-04-01,1.12026
2019-04-02,1.12034
2019-04-03,1.12373
2019-04-04,1.12211
2019-04-05,1.1218
2019-04-08,1.12609
2019-04-09,1.12646
2019-04-10,1.12753
2019-04-11,1.12573
2019-04-12,1.1297
2019-04-15,1.13012
2019-04-16,1.12862
2019-04-17,1.12982
2019-04-18,1.1232
2019-04-22,1.12581
2019-04-23,1.12232
2019-04-24,1.11555
2019-04-25,1.11346
2019-04-26,1.11478
2019-04-29,1.11834
2019-04-30,1.12145
2019-05-01,1.11996
2019-05-02,1.11721
2019-05-03,1.11994
2019-05-06,1.11951
2019-05-07,1.11942
2019-05-08,1.11947
2019-05-09,1.12187
2019-05-10,1.12311
2019-05-13,1.12268
2019-05-14,1.12074
2019-05-15,1.1205
2019-05-16,1.11736
2019-05-17,1.11609
2019-05-20,1.11676
2019-05-21,1.11625
2019-05-22,1.11526
2019-05-23,1.11834
2019-05-24,1.12081
2019-05-27,1.11943
2019-05-28,1.11657
2019-05-29,1.11356
2019-05-30,1.11299
2019-05-31,1.11712
2019-06-03,1.12444
2019-06-04,1.12536
2019-06-05,1.12267
2019-06-06,1.12773
2019-06-07,1.13338
2019-06-10,1.13134
2019-06-11,1.13274
2019-06-12,1.12919
2019-06-13,1.12775
2019-06-14,1.12069
2019-06-17,1.12211
2019-06-18,1.11948
2019-06-19,1.12295
2019-06-20,1.12931
2019-06-21,1.13723
2019-06-24,1.13966
2019-06-25,1.13688
2019-06-26,1.13749
2019-06-27,1.13684
2019-06-28,1.1371
2019-07-01,1.12882
2019-07-02,1.12896
2019-07-03,1.12799
2019-07-04,1.1285
2019-07-05,1.12261
2019-07-08,1.12159
2019-07-09,1.12082
2019-07-10,1.12541
2019-07-11,1.12534
2019-07-12,1.12713
2019-07-15,1.12612
2019-07-16,1.12115
2019-07-17,1.12275
2019-07-18,1.12776
2019-07-19,1.12193
2019-07-22,1.12092
2019-07-23,1.11521
2019-07-24,1.11429
2019-07-25,1.11479
2019-07-26,1.11247
2019-07-29,1.11452
2019-07-30,1.11554
2019-07-31,1.1071
2019-08-01,1.10835
2019-08-02,1.11057
2019-08-05,1.12139
2019-08-06,1.12022
2019-08-07,1.12021
2019-08-08,1.11936
2019-08-09,1.12027
2019-08-12,1.12164
2019-08-13,1.11726
2019-08-14,1.11419
2019-08-15,1.11062
2019-08-16,1.10928
2019-08-19,1.10802
2019-08-20,1.10984
2019-08-21,1.10882
2019-08-22,1.10809
2019-08-23,1.114
2019-08-26,1.11001
2019-08-27,1.10906
2019-08-28,1.10815
2019-08-29,1.10585
2019-08-30,1.09901
2019-09-02,1.09698
2019-09-03,1.09718
2019-09-04,1.10349
2019-09-05,1.10349
2019-09-06,1.10257
2019-09-09,1.10493
2019-09-10,1.1049
2019-09-11,1.10091
2019-09-12,1.10638
2019-09-13,1.10763
2019-09-16,1.10006
2019-09-17,1.10717
2019-09-18,1.1033
2019-09-19,1.1042
2019-09-20,1.10181
2019-09-23,1.0995
2019-09-24,1.10197
2019-09-25,1.09441
2019-09-26,1.09177
2019-09-27,1.09416
2019-09-30,1.08986
2019-10-01,1.09318
2019-10-02,1.09608
2019-10-03,1.09717
2019-10-04,1.09814
2019-10-07,1.09716
2019-10-08,1.0956
2019-10-09,1.09734
2019-10-10,1.10088
2019-10-11,1.10364
2019-10-14,1.1025
2019-10-15,1.10313
2019-10-16,1.10732
2019-10-17,1.1127
2019-10-18,1.11614
2019-10-21,1.11484
2019-10-22,1.11252
2019-10-23,1.11322
2019-10-24,1.11053
2019-10-25,1.1081
2019-10-28,1.10982
2019-10-29,1.11121
2019-10-30,1.11531
2019-10-31,1.11517
2019-11-01,1.11657
2019-11-04,1.11222
2019-11-05,1.10749
2019-11-06,1.10685
2019-11-07,1.1049
2019-11-08,1.10218
2019-11-11,1.10316
2019-11-12,1.10115
2019-11-13,1.10081
2019-11-14,1.10221
2019-11-15,1.10542
2019-11-18,1.10719
2019-11-19,1.1078
2019-11-20,1.10767
2019-11-21,1.10623
2019-11-22,1.10229
2019-11-25,1.1014
2019-11-26,1.10236
2019-11-27,1.1006
2019-11-28,1.1011
2019-11-29,1.10175
2019-12-02,1.10767
2019-12-03,1.10821
2019-12-04,1.10783
2019-12-05,1.11045
2019-12-06,1.106
2019-12-09,1.10654
2019-12-10,1.10934
2019-12-11,1.11332
2019-12-12,1.11838
2019-12-13,1.11168
2019-12-16,1.11392
2019-12-17,1.11532
2019-12-18,1.11162
2019-12-19,1.11239
2019-12-20,1.10757
2019-12-23,1.10904
2019-12-24,1.10845
2019-12-26,1.10963
2019-12-27,1.11758
2019-12-30,1.12003
2019-12-31,1.12131
2020-01-02,1.11718
2020-01-03,1.11617
2020-01-06,1.11958
2020-01-07,1.11478
2020-01-08,1.11102
2020-01-09,1.11065
2020-01-10,1.11217
2020-01-13,1.11355
2020-01-14,1.11265
2020-01-15,1.11509
2020-01-16,1.11375
2020-01-17,1.10927
2020-01-20,1.10972
2020-01-21,1.1083
2020-01-22,1.10935
2020-01-23,1.10558
2020-01-24,1.10279
2020-01-27,1.10184
2020-01-28,1.1022
2020-01-29,1.10105
2020-01-30,1.10341
2020-01-31,1.10903
2020-02-03,1.10594
2020-02-04,1.10452
2020-02-05,1.09999
2020-02-06,1.0981
2020-02-07,1.09475
2020-02-10,1.09113
2020-02-11,1.09192
2020-02-12,1.08718
2020-02-13,1.08406
2020-02-14,1.08368
2020-02-17,1.08373
2020-02-18,1.07947
2020-02-19,1.08087
2020-02-20,1.07875
2020-02-21,1.08491
2020-02-24,1.08519
2020-02-25,1.0881
2020-02-26,1.08826
2020-02-27,1.10027
2020-02-28,1.10399
2020-03-02,1.11394
2020-03-03,1.11706
2020-03-04,1.1133
2020-03-05,1.12304
2020-03-06,1.13073
2020-03-09,1.14389
2020-03-10,1.13091
2020-03-11,1.12589
2020-03-12,1.11768
2020-03-13,1.11074
2020-03-16,1.11684
2020-03-17,1.1016
2020-03-18,1.09331
2020-03-19,1.06649
2020-03-20,1.06992
2020-03-23,1.07464
2020-03-24,1.08122
2020-03-25,1.08815
2020-03-26,1.10372
2020-03-27,1.1141
2020-03-30,1.10474
2020-03-31,1.10301
2020-04-01,1.09458
2020-04-02,1.08557
2020-04-03,1.08108
2020-04-06,1.07943
2020-04-07,1.08909
2020-04-08,1.08565
2020-04-09,1.09289
2020-04-13,1.09082
2020-04-14,1.09813
2020-04-15,1.09088
2020-04-16,1.08614
2020-04-17,1.08681
2020-04-20,1.08697
2020-04-21,1.08576
2020-04-22,1.0823
2020-04-23,1.07795
2020-04-24,1.08095
2020-04-27,1.08315
2020-04-28,1.0822
2020-04-29,1.08748
2020-04-30,1.09515
2020-05-01,1.09797
2020-05-04,1.09017
2020-05-05,1.08421
2020-05-06,1.07963
2020-05-07,1.08317
2020-05-08,1.08362
2020-05-11,1.08078
2020-05-12,1.0847
2020-05-13,1.08184
2020-05-14,1.08071
2020-05-15,1.08176
2020-05-18,1.09165
2020-05-19,1.09214
2020-05-20,1.09786
2020-05-21,1.09478
2020-05-22,1.09032
2020-05-25,1.08945
2020-05-26,1.0977
2020-05-27,1.1007
2020-05-28,1.1079
2020-05-29,1.1102
2020-06-01,1.11322
2020-06-02,1.11703
2020-06-03,1.12361
2020-06-04,1.13363
2020-06-05,1.12899
2020-06-08,1.12913
2020-06-09,1.13383
2020-06-10,1.13759
2020-06-11,1.12933
2020-06-12,1.12552
2020-06-15,1.13255
2020-06-16,1.12622
2020-06-17,1.12433
2020-06-18,1.12049
2020-06-19,1.11865
2020-06-22,1.12633
2020-06-23,1.13089
2020-06-24,1.1255
2020-06-25,1.12163
2020-06-26,1.12284
2020-06-29,1.1241
2020-06-30,1.12323
2020-07-01,1.12505
2020-07-02,1.12398
2020-07-03,1.12448
2020-07-06,1.13107
2020-07-07,1.12741
2020-07-08,1.13328
2020-07-09,1.12842
2020-07-10,1.13002
2020-07-13,1.13462
2020-07-14,1.14024
2020-07-15,1.14126
2020-07-16,1.13809
2020-07-17,1.14373
2020-07-20,1.14439
2020-07-21,1.15327
2020-07-22,1.15726
2020-07-23,1.15958
2020-07-24,1.16421
2020-07-27,1.17505
2020-07-28,1.17211
2020-07-29,1.17928
2020-07-30,1.18424
2020-07-31,1.17823
2020-08-03,1.17606
2020-08-04,1.17972
2020-08-05,1.1866
2020-08-06,1.18767
2020-08-07,1.17868
2020-08-10,1.17394
2020-08-11,1.17434
2020-08-12,1.17844
2020-08-13,1.18147
2020-08-14,1.18373
2020-08-17,1.18743
2020-08-18,1.19322
2020-08-19,1.1843
2020-08-20,1.18609
2020-08-21,1.17952
2020-08-24,1.17901
2020-08-25,1.18342
2020-08-26,1.18305
2020-08-27,1.18202
2020-08-28,1.18985
2020-08-31,1.19393
2020-09-01,1.19166
2020-09-02,1.18553
2020-09-03,1.18509
2020-09-04,1.18423
2020-09-07,1.18154
2020-09-08,1.17738
2020-09-09,1.18033
2020-09-10,1.18214
2020-09-11,1.18408
2020-09-14,1.18666
2020-09-15,1.18486
2020-09-16,1.18143
2020-09-17,1.18447
2020-09-18,1.18488
2020-09-21,1.17699
2020-09-22,1.1707
2020-09-23,1.16612
2020-09-24,1.16719
2020-09-25,1.16262
2020-09-28,1.16645
2020-09-29,1.17407
2020-09-30,1.1724
2020-10-01,1.17462
2020-10-02,1.17124
2020-10-05,1.17805
2020-10-06,1.17328
2020-10-07,1.17657
2020-10-08,1.17594
2020-10-09,1.18237
2020-10-12,1.18143
2020-10-13,1.17451
2020-10-14,1.17486
2020-10-15,1.17102
2020-10-16,1.17177
2020-10-19,1.17677
2020-10-20,1.1824
2020-10-21,1.18598
2020-10-22,1.1821
2020-10-23,1.18625
2020-10-26,1.18071
2020-10-27,1.17802
2020-10-28,1.17485
2020-10-29,1.16698
2020-10-30,1.16466
2020-11-02,1.16404
2020-11-03,1.17283
2020-11-04,1.17213
2020-11-05,1.18232
2020-11-06,1.18797
2020-11-09,1.18171
2020-11-10,1.18188
2020-11-11,1.17778
2020-11-12,1.18069
2020-11-13,1.18338
2020-11-16,1.1856
2020-11-17,1.18632
2020-11-18,1.18517
2020-11-19,1.18705
2020-11-20,1.1859
2020-11-23,1.18395
2020-11-24,1.18922
2020-11-25,1.19154
2020-11-26,1.19104
2020-11-27,1.19607
2020-11-30,1.19308
2020-12-01,1.20722
2020-12-02,1.21128
2020-12-03,1.21448
2020-12-04,1.21268
2020-12-07,1.21104
2020-12-08,1.21061
2020-12-09,1.20807
2020-12-10,1.21416
2020-12-11,1.21158
2020-12-14,1.21457
2020-12-15,1.21514
2020-12-16,1.21978
2020-12-17,1.22671
2020-12-18,1.22452
2020-12-21,1.22386
2020-12-22,1.21643
2020-12-23,1.21904
2020-12-24,1.21807
2020-12-28,1.22092
2020-12-29,1.22534
2020-12-30,1.22974
2020-12-31,1.2216
2021-01-04,1.22506
2021-01-05,1.22968
2021-01-06,1.2328
2021-01-07,1.22661
2021-01-08,1.22238
2021-01-11,1.21526
2021-01-12,1.22055
2021-01-13,1.2157
2021-01-14,1.21519
2021-01-15,1.20778
2021-01-18,1.20782
2021-01-19,1.21283
2021-01-20,1.211
2021-01-21,1.21678
2021-01-22,1.21663
2021-01-25,1.21436
2021-01-26,1.2162
2021-01-27,1.21089
2021-01-28,1.2122
2021-01-29,1.2136
2021-02-01,1.20619
2021-02-02,1.20439
2021-02-03,1.20338
2021-02-04,1.19648
2021-02-05,1.20487
2021-02-08,1.2052
2021-02-09,1.21197
2021-02-10,1.2119
2021-02-11,1.21328
2021-02-12,1.21179
2021-02-15,1.21276
2021-02-16,1.21028
2021-02-17,1.2045
2021-02-18,1.20908
2021-02-19,1.21163
2021-02-22,1.21605
2021-02-23,1.21489
2021-02-24,1.21663
2021-02-25,1.21828
2021-02-26,1.20657
2021-03-01,1.20504
2021-03-02,1.20843
2021-03-03,1.20634
2021-03-04,1.19751
2021-03-05,1.19156
2021-03-08,1.18489
2021-03-09,1.19022
2021-03-10,1.19262
2021-03-11,1.19833
2021-03-12,1.19611
2021-03-15,1.19247
2021-03-16,1.19019
2021-03-17,1.19786
2021-03-18,1.19172
2021-03-19,1.19048
2021-03-22,1.19338
2021-03-23,1.18474
2021-03-24,1.18118
2021-03-25,1.17738
2021-03-26,1.17929
2021-03-29,1.17656
2021-03-30,1.17177
2021-03-31,1.17279
2021-04-01,1.17756
2021-04-05,1.18135
2021-04-06,1.18722
2021-04-07,1.18697
2021-04-08,1.19153
2021-04-09,1.19031
2021-04-12,1.19126
2021-04-13,1.195
2021-04-14,1.19789
2021-04-15,1.19674
2021-04-16,1.19809
2021-04-19,1.20374
2021-04-20,1.20351
2021-04-21,1.20361
2021-04-22,1.20169
2021-04-23,1.20996
2021-04-26,1.20866
2021-04-27,1.20891
2021-04-28,1.21255
2021-04-29,1.21229
2021-04-30,1.20234
2021-05-03,1.20644
2021-05-04,1.20116
2021-05-05,1.20069
2021-05-06,1.20634
2021-05-07,1.21664
2021-05-10,1.21313
2021-05-11,1.21498
2021-05-12,1.20713
2021-05-13,1.20821
2021-05-14,1.2143
2021-05-17,1.21529
2021-05-18,1.22247
2021-05-19,1.21765
2021-05-20,1.22296
2021-05-21,1.21868
2021-05-24,1.22168
2021-05-25,1.225
2021-05-26,1.21944
2021-05-27,1.21949
2021-05-28,1.21947
2021-05-31,1.22271
2021-06-01,1.22143
2021-06-02,1.22119
2021-06-03,1.21273
2021-06-04,1.21688
2021-06-07,1.21918
2021-06-08,1.21731
2021-06-09,1.21789
2021-06-10,1.21741
2021-06-11,1.21091
2021-06-14,1.21201
2021-06-15,1.21292
2021-06-16,1.19938
2021-06-17,1.19063
2021-06-18,1.18682
2021-06-21,1.19189
2021-06-22,1.19399
2021-06-23,1.19279
2021-06-24,1.19308
2021-06-25,1.19414
2021-06-28,1.19271
2021-06-29,1.19018
2021-06-30,1.1859
2021-07-01,1.18497
2021-07-02,1.18657
2021-07-05,1.18621
2021-07-06,1.18219
2021-07-07,1.17939
2021-07-08,1.18449
2021-07-09,1.18795
2021-07-12,1.1862
2021-07-13,1.1778
2021-07-14,1.18368
2021-07-15,1.18129
2021-07-16,1.18043
